INFO  - 2022-10-06 18:15:57.863; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:18:38.147; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:18:38.213; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:19:46.734; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:19:46.795; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:22:43.172; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:22:43.230; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:23:48.114; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:23:48.163; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:24:12.247; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:24:12.313; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:25:10.205; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:25:10.262; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:25:40.991; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:25:41.046; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:26:41.089; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:26:41.146; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
ERROR - 2022-11-08 14:20:48.053; log.ttte; meassage
INFO  - 2022-11-08 14:20:48.061; log.ttte; info
WARN  - 2022-11-08 14:20:48.062; log.ttte; war
INFO  - 2022-11-08 14:29:21.271; log.logjj; my message
WARN  - 2022-11-08 14:29:21.286; log.logjj; my message
